team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Mumbai Indians,Jasprit Bumrah,False,bowler,35.0,4.0,5.0,1.0,0.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,789.0,925.0,50.0,347.0,0.0,32.0,3.0,23.0,16.0,5.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0
Mumbai Indians,Trent Boult,True,bowler,56.0,66.0,50.0,3.0,4.0,13.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1202.0,1689.0,62.0,469.0,1.0,43.0,4.0,21.0,17.0,6.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
Mumbai Indians,Allah Ghafanzar,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Ashwani Kumar,False,bowler,27.4,9.0,11.0,2.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,552.6,814.0,35.2,182.0,0.0,36.5,4.3,4.0,9.3,3.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0
Mumbai Indians,Deepak Chahar,False,bowler,14.0,37.0,25.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,246.0,376.0,11.0,106.0,1.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Mumbai Indians,Will Jacks,True,all_rounder,57.0,1502.0,987.0,144.0,69.0,53.0,46.0,3.0,10.0,25.0,14.0,5.0,2.0,1.0,563.0,736.0,33.0,219.0,1.0,19.0,1.0,8.0,10.0,2.0,0.0,0.0,0.0,32.0,0.0,1.0,4.0
Mumbai Indians,Raghu Sharma,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Raj Angad Bawa,False,all_rounder,2.0,13.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Kolkata Knight Riders,Cameron Green,True,all_rounder,94.0,1228.0,857.0,88.0,52.0,78.0,50.0,3.0,20.0,20.0,3.0,0.0,0.0,0.0,1381.0,1850.0,77.0,428.0,1.0,48.0,4.0,13.0,24.0,12.0,1.0,0.0,0.0,55.0,1.0,5.0,11.0
Kolkata Knight Riders,Matheesha Pathirana,True,bowler,33.0,9.0,13.0,0.0,0.0,5.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,674.0,1054.0,34.0,214.0,1.0,96.0,3.0,8.0,11.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Kolkata Knight Riders,Mustafizur Rahman,True,bowler,95.0,798.0,646.0,54.0,49.0,51.0,37.0,5.0,13.0,8.0,3.0,3.0,1.0,0.0,1886.0,2312.0,104.0,755.0,6.0,77.0,8.0,20.0,29.0,11.0,1.0,0.0,0.0,38.0,0.0,6.0,8.0
Kolkata Knight Riders,Tejasvi Singh,False,bowler,32.0,595.0,396.0,59.0,31.0,29.0,24.0,0.0,6.0,8.0,4.0,1.0,1.0,0.0,408.0,442.0,25.0,172.0,1.0,17.0,1.0,7.0,9.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0
